"decile","policies","exposure","actual_claims","expected_claims","actual_cost","expected_cost"
1,6200,4226.69274421734,185,182.294988671254,318394,412662.806397319
2,6196,4038.3854068418,217,207.887747446322,354560,470597.364755447
3,6198,3887.58987499062,216,219.716761970482,496454,497374.81138761
4,6197,3755.42294333405,221,228.75791133115,289375,517841.342560104
5,6197,3657.86792200013,208,239.008811536967,631080,541046.397607777
6,6199,3464.47489857023,255,243.88859018824,389682,552092.796455659
7,6196,3221.89492851257,271,245.65577339819,503940,556093.184991577
8,6199,3053.35107043937,266,254.986793300434,437082,577215.898717698
9,6197,2757.64486862783,251,257.355271375351,476591,582577.443850723
10,6197,2676.95499288865,329,346.972446101896,539970,785444.648778372
