"model","term","estimate"
"frequency","(Intercept)",-2.5573199931476
"frequency","DriverBand26–35",-0.705992875414189
"frequency","DriverBand36–55",-0.732738005822286
"frequency","DriverBand56–70",-0.858709244693435
"frequency","DriverBand71+",-0.839126137690591
"frequency","CarBand3–7",0.0946572618128348
"frequency","CarBand8–15",0.0790824240925203
"frequency","CarBand16+",-0.149264667733277
"frequency","PowerBandg–j",0.0483719784164322
"frequency","PowerBandk–o",0.193819670275874
"frequency","GasRegular",-0.184581917142078
"frequency","RegionBasse-Normandie",-0.0522211850849218
"frequency","RegionBretagne",-0.0406547365456985
"frequency","RegionCentre",-0.0334105399280109
"frequency","RegionHaute-Normandie",-0.0784503870657093
"frequency","RegionIle-de-France",-0.0410140686156636
"frequency","RegionLimousin",0.327819963242102
"frequency","RegionNord-Pas-de-Calais",-0.0138835281162808
"frequency","RegionPays-de-la-Loire",-0.0224444180244125
"frequency","RegionPoitou-Charentes",0.0324299739866908
"frequency","LogDensity",0.110819530601116
"severity","(Intercept)",8.44948935694538
"severity","DriverBand26–35",-0.94694423121778
"severity","DriverBand36–55",-1.05081754135515
"severity","DriverBand56–70",-0.978765625678861
"severity","DriverBand71+",-0.780479887066
"severity","CarBand3–7",0.0261688370243296
"severity","CarBand8–15",0.0120287863163532
"severity","CarBand16+",-0.39008289643488
"severity","PowerBandg–j",0.0397889039558242
"severity","PowerBandk–o",0.11726798018326
"severity","GasRegular",0.0329694784195685
"severity","RegionBasse-Normandie",0.187356284014311
"severity","RegionBretagne",0.100681786468792
"severity","RegionCentre",0.240906819821532
"severity","RegionHaute-Normandie",-0.210654331237053
"severity","RegionIle-de-France",-0.0873034190463179
"severity","RegionLimousin",-0.18313174794897
"severity","RegionNord-Pas-de-Calais",-0.22520621937694
"severity","RegionPays-de-la-Loire",-0.177477685128768
"severity","RegionPoitou-Charentes",-0.0997428136683719
